"point_id","edge_id","snap_dist_m"
107,84738,"1.98095725"
108,15429,"1.83984078"
109,2229,"0.05269533"
110,41003,"0.95715701"
111,28424,"0.44971303"
112,24922,"190.44753503"
113,45845,"75.86698951"
114,6211,"2.90898557"
115,116,"3.75991756"
116,59025,"2.1504923"
117,59148,"2.96617359"
118,278,"2.93587959"
119,55098,"4.78685669"
120,48314,"4.39206629"
121,65593,"5.21392232"
122,14076,"11.19260715"
123,8275,"1.38650435"
124,9902,"2.49565145"
125,48,"0.29600749"
126,48314,"9.51429078"
127,59569,"1.19532423"
128,4038,"5.69123939"
129,55153,"12.54905408"
130,59,"6.93479806"
131,203,"25.27183936"
132,254,"0.97381995"
133,85277,"1.95307885"
134,2693,"2.37396136"
135,82346,"5.86524562"
136,27315,"15.45902575"
137,29,"1.04335364"
138,121,"3.52684924"
139,39836,"4.14714059"
140,34744,"0.22944971"
141,85457,"6.18335406"
142,55153,"12.10614492"
143,9326,"1.60726039"
144,49107,"0.32013406"
145,77326,"3042.8125247"
146,50576,"1.48839575"
147,39411,"3.73961684"
148,3224,"6.24883519"
149,63369,"4.05521096"
150,22128,"3.56081866"
151,8189,"8.24328665"
152,1228,"5.96568404"
153,57,"13.09446898"
154,55153,"5.60593931"
155,64955,"1.49803087"
156,28424,"0.44971303"
157,49826,"3.45567775"
159,3505,"4.33245108"
160,54466,"0.08576261"
161,15450,"3.63760889"
162,85229,"1.83203402"
163,24922,"147.78313257"
164,48314,"11.69524126"
165,27523,"1.6886075"
166,6211,"2.90898557"
167,59148,"2.96617359"
168,39850,"5.80525879"
169,45840,"74.99610626"
170,48314,"4.39206629"
171,1068,"2.1281307"
172,8297,"2.11470492"
173,6670,"3.61558511"
174,55153,"12.10614492"
175,55098,"4.78685669"
176,48,"5.23146949"
177,13417,"3.78020707"
178,8411,"1.1044879"
179,6223,"4.92621804"
180,55153,"12.54905408"
181,203,"25.27183936"
182,254,"0.98247689"
183,85277,"1.95307885"
184,9742,"47.31453876"
185,24084,"5.00736652"
186,82346,"5.86524562"
187,121,"1.29403499"
188,59,"6.93479806"
189,9326,"1.94778792"
190,34744,"0.22944971"
191,47,"7.16214731"
193,33707,"2.65167308"
194,39411,"4.40416074"
195,77326,"2968.13157942"
196,57873,"7.19466351"
197,8265,"1.9057088"
198,29,"1.76812698"
199,46,"4.93901391"
200,8191,"1.17346238"
201,88043,"3.37975247"
202,3224,"6.24883519"
203,57,"13.09446898"
204,11377,"0.26967972"
205,28424,"0.44971303"
206,49826,"1.06868463"
207,8242,"7.62861808"
208,55153,"5.60593931"
209,49107,"3.3926643"
210,3493,"4.29050882"
211,57003,"0.47010863"
212,114,"38.62938789"
213,8807,"1.4329955"
214,24922,"153.67427559"
215,48314,"13.1635141"
216,6211,"2.90898557"
217,5135,"7.74047632"
218,6673,"0.43369179"
219,14227,"5.72492607"
220,33723,"2.81665874"
221,48314,"4.39206629"
222,59148,"2.96617359"
223,276,"3.30686136"
224,55098,"2.18040505"
225,8415,"5.69399641"
226,48,"4.82968871"
227,55153,"12.10614492"
228,13417,"2.33367449"
229,6223,"3.62685348"
230,8292,"0.99888241"
1856,56056,"7.70098835"
231,6979,"3.47701264"
232,55153,"7.45970288"
233,59,"6.93479806"
234,51064,"25.3581507"
235,486,"7.44942797"
236,85277,"1.95307885"
237,701,"1.90026903"
238,10007,"8.46765068"
239,121,"2.899996"
240,82346,"5.86524562"
242,64364,"9.10457928"
243,77326,"2866.445805"
244,6077,"2.33123302"
245,6979,"3.47701264"
246,47,"7.16214731"
247,13724,"8.73184562"
248,29,"1.76812698"
249,51665,"1.90683605"
250,57873,"5.58308719"
251,8265,"0.09465377"
252,63613,"3.48121204"
253,3224,"6.24883519"
254,28424,"0.44971303"
255,34744,"0.22944971"
256,78656,"2.67750004"
257,57,"13.09446898"
258,8185,"5.40084319"
259,8242,"7.62861808"
260,55153,"5.60593931"
261,61315,"27.63296094"
262,3493,"3.98340156"
263,750,"4.29103993"
264,114,"38.5076982"
265,15439,"2.68049692"
266,28214,"4.93113223"
267,24922,"153.67427559"
268,6211,"0.49702014"
269,59148,"2.96617359"
270,273,"9.25818483"
271,14227,"4.15994226"
272,55098,"2.18040505"
273,6672,"0.95416275"
274,48018,"2.03608336"
275,48018,"2.03608336"
276,48314,"4.39206629"
277,7208,"1.32221235"
278,48,"4.82968871"
279,27527,"0.90285088"
280,8199,"0.85035001"
281,3997,"0.18641587"
282,55153,"7.28716579"
283,48314,"14.84509942"
284,8283,"2.20303834"
285,48018,"2.03608336"
286,48018,"2.03608336"
287,121,"0.1140735"
288,82783,"7.14164143"
289,483,"8.52017049"
290,48018,"2.03608336"
291,23993,"1.96654274"
292,59,"7.38738622"
293,201,"0.5133978"
294,55017,"1.02365245"
295,29,"1.76812698"
296,82346,"5.86524562"
297,39836,"4.14714059"
298,55153,"12.10614492"
299,5281,"9.92743556"
300,34744,"0.22944971"
301,45,"18.34766505"
302,5984,"3.33226178"
303,60424,"2.17717479"
304,70880,"5.81645492"
305,63871,"6.63710626"
306,3224,"6.24883519"
307,57863,"1.74608049"
308,8265,"0.09465377"
309,77326,"2766.67287138"
310,8179,"4.35198455"
311,61315,"25.67314383"
312,247,"1.16799436"
313,28424,"0.44971303"
314,8242,"7.62861808"
315,55153,"5.60593931"
316,59,"10.30928763"
317,3487,"4.13870932"
318,4008,"0.61158343"
319,114,"38.5076982"
320,17357,"4.32836277"
321,28214,"0.23404677"
322,48314,"5.29046419"
323,24922,"153.67427559"
324,6211,"5.421531"
325,4045,"4.21586436"
326,27527,"3.83278676"
327,6676,"2.93893582"
328,59148,"2.96617359"
329,14227,"4.15994226"
330,48314,"4.39206629"
331,55098,"2.18040505"
332,273,"11.39501649"
333,8248,"0.77764306"
334,55153,"12.10614492"
335,8197,"0.46299146"
336,7211,"5.20387253"
337,22125,"4.62301532"
338,55153,"7.4378884"
339,3997,"2.155791"
340,51066,"10.63144084"
341,59,"7.38738622"
342,483,"8.52017049"
343,82783,"7.14164143"
344,1075,"0.23368425"
345,150,"3.31921951"
346,82346,"5.86524562"
347,55017,"49.15226963"
348,7475,"3.77379195"
349,728,"15.29537207"
350,46,"0.0020349"
351,65589,"9.71626345"
352,34744,"0.22944971"
353,77326,"2760.888055"
354,5977,"0.06891169"
355,22115,"4.23547403"
356,4018,"0.42177841"
357,17668,"2.50630832"
358,8180,"1.46435328"
359,34745,"56.98675374"
360,74007,"0.29046695"
361,245,"1.74383373"
362,59,"11.2206373"
363,28424,"0.44971303"
364,61315,"25.67314383"
365,8242,"7.62861808"
366,50569,"1.1001744"
367,3486,"3.33600709"
368,55153,"5.60593931"
369,3350,"1.73018343"
370,72477,"6.03580373"
371,15441,"1.90084216"
372,48314,"1.52411906"
373,114,"38.5076982"
374,24922,"153.67427559"
375,6211,"5.421531"
376,6704,"1.67308928"
377,14217,"3.3017851"
378,4053,"11.44975736"
379,27527,"4.01471645"
380,55098,"2.18040505"
381,59148,"2.96617359"
382,48314,"4.39206629"
383,7205,"0.62671764"
384,55153,"12.10614492"
385,22125,"6.11392883"
